排名,标题,评论数量,推荐率,出版社,作者,出版时间,价格,标题链接,
51,大宇宙  和爸妈游太空  给孩子的手绘天文绘本,172722,100%,北京联合出版有限公司,马劲,2020/3/23,¥67.90,http://product.dangdang.com/28526631.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科', '图书', '>', '童书', '>', '宇宙星空']"
52,养育你内心的小孩（你缺少的从来不是方法，而是底气。与其向外寻...,4798,100%,万卷出版公司,丛非从，果麦文化 出品,2022/1/1,¥49.80,http://product.dangdang.com/29357502.html,"['所属分类：', '图书', '>', '心理学', '>', '心灵疗愈']"
53,非暴力沟通（修订版）,714376,100%,华夏出版社,（美）马歇尔 卢森堡Marshall B.Rosenberg,2021/9/1,¥48.10,http://product.dangdang.com/29302272.html,"['所属分类：', '图书', '>', '成功/励志', '>', '人际交往', '>', '沟通艺术']"
54,时间从来不语，却回答了所有问题（文学大师季羡林百岁人生的智慧...,64103,100%,百花洲文艺出版社,季羡林 著，紫图图书出品,2021/11/1,¥53.90,http://product.dangdang.com/29328156.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
55,小羊上山儿童汉语分级读物第1级（10册套装）,39620,100%,人民邮电出版社,孙蓓主编     童趣出版有限公司编,2020/9/1,¥135.20,http://product.dangdang.com/29140217.html,"['所属分类：', '图书', '>', '童书', '>', '动漫/卡通', '>', '卡通', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']"
56,疯狂的化学 我是学霸 给孩子的趣味化学启蒙绘本,26074,99.90%,北京联合出版有限公司,郭元婕,2021/11/1,¥39.00,http://product.dangdang.com/29335624.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '7-10岁', '>', '科普/百科']"
57,我们的身体,582619,99.90%,未来出版社,[法]艾德兰  文，[法]巴尔博里尼  绘，乐乐趣  出品,2012/6/1,¥151.90,http://product.dangdang.com/23946177.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科', '图书', '>', '童书', '>', '健康教育']"
58,理想国（2020全译本，西方哲学的源头，清华大学、北京大学图书馆...,33696,99.90%,民主与建设出版社,（古希腊）柏拉图著  张俊译 知书达礼 出品,2020/7/1,¥53.20,http://product.dangdang.com/28973100.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '哲学', '>', '哲学理论']"
59,乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫·勒庞代表作...,691191,100%,民主与建设出版社,(法) 古斯塔夫·勒庞 著，马晓佳 译,2018/4/6,¥10.10,http://product.dangdang.com/25246609.html,"['所属分类：', '图书', '>', '心理学', '>', '心理学经典著作']"
60,小王子（纪念版，李继宏口碑译作，作者基金会官方认证简体中文版...,1495750,99.90%,天津人民出版社,（法）安托万·德·圣埃克苏佩里，译者 李继宏，果麦文化 出品,2018/6/3,¥39.80,http://product.dangdang.com/25298376.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '欧洲']"
61,悉达多（译者姜乙翻译）【果麦经典】,78345,100%,天津人民出版社,[德]赫尔曼·黑塞，译者：姜乙，果麦文化 出品,2017/1/1,¥32.00,http://product.dangdang.com/26186058.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '德国']"
62,少年读山海经（地理+神话+怪兽+奇闻+古文，套装 全3册 ）,21721,100%,青岛出版社,刘兴诗,2021/10/1,¥100.00,http://product.dangdang.com/29311502.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '经典名著少儿版', '图书', '>', '童书', '>', '7-10岁', '>', '文学']"
63,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、...,552229,100%,北京日报出版社,[日]中村恒子（恒子奶奶）著，紫图图书  出品,2019/9/1,¥48.90,http://product.dangdang.com/27931206.html,"['所属分类：', '图书', '>', '成功/励志', '>', '人生哲学', '>', '生活哲学']"
64,一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,220442,100%,时代文艺出版社,"[英]乔治·奥威尔 著,傅霞 译",2018/2/5,¥28.50,http://product.dangdang.com/25215594.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
65,神奇校车·图画书版（全12册，新增科学博览会1册）,1677734,99.90%,贵州人民出版社,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",2018/5/10,¥108.90,http://product.dangdang.com/25252408.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科', '图书', '>', '童书', '>', '科学认知']"
66,彩虹色的花,259579,100%,二十一世纪出版社,麦克?格雷涅茨,2018/7/1,¥45.10,http://product.dangdang.com/25311931.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '爱与分享']"
